Gender,10percentage,12graduation,12percentage,CollegeID,CollegeTier,collegeGPA,CollegeCityID,CollegeCityTier,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience
1,84.2,2008,78.6,100,2,64.45,100,0,2012,525,605,595,0.376059586651545,-1,300,-1,-1,-1,-1,-1,-2.272,0.2668,-0.9245,1.0024,0.6603
1,71.5,2007,60.0,81,2,68.74,81,0,2012,415,355,455,0.245455659999829,335,-1,-1,-1,-1,-1,-1,0.51,1.1248,-0.7794,-0.2609,-0.6035
1,81.5,2009,80.2,11160,2,82.0,11160,1,2013,430,510,415,0.342314899911815,365,-1,-1,-1,-1,-1,-1,0.7027,-1.1196,-0.1437,0.3995,0.2889
1,63.0,2008,66.0,3879,2,65.55,3879,0,2012,435,465,465,0.704090412131314,465,-1,-1,-1,-1,-1,-1,-3.6631,-2.1513,0.0914,1.32552999999999,-1.2354
1,74.0,2004,86.1,3694,2,76.0,3694,0,2010,405,385,585,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.8083,-0.5913,-0.9245,-0.0552,0.3444
0,91.6,2010,86.5,2952,2,80.2,2952,1,2014,465,510,570,0.783303536670298,445,388,-1,-1,-1,484,-1,-0.159,1.2114,0.4711,-1.6289,0.0973
1,87.5,2009,89.9,13899,2,73.21,13899,0,2013,500,415,485,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.1282,0.8784,0.6248,-0.3612,-0.6692
1,78.5,2009,83.0,16171,2,77.72,16171,0,2013,350,470,405,0.207392169717661,355,260,-1,-1,-1,-1,-1,1.7081,0.7119,0.6248,-1.3753,0.6721
1,79.5,2009,63.2,7814,2,63.3,7814,0,2014,615,425,440,0.493596387301038,405,324,-1,-1,-1,452,-1,-0.3027,1.0449,1.3933,0.1459,0.8637
0,71.0,2009,68.0,13040,2,81.4,13040,1,2013,345,570,220,0.843123726665742,515,-1,-1,-1,-1,-1,-1,0.2718,0.3789,0.6248,-1.3753,-0.6692
1,66.0,2006,61.0,9508,2,72.04,9508,0,2012,640,500,545,0.953899775079926,464,-1,530,-1,-1,-1,-1,0.5591,1.0449,-0.1437,-0.6147,-0.8608
1,74.0,2009,63.0,14278,2,72.0,14278,0,2013,490,530,370,0.0409993103614119,405,-1,223,-1,-1,-1,-1,-1.5953,0.5454,-0.7585,0.5262,-0.6692
1,91.0,2007,90.91,4042,2,83.2,4042,0,2011,565,515,575,0.229481754911755,325,266,-1,-1,-1,-1,-1,0.6646,1.1248,1.5428,-0.4078,0.3444
0,89.44,2009,75.33,4569,2,68.69,4569,0,2013,500,425,385,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.8463,0.0459,1.7007,-0.4879,0.0973
1,76.0,2010,64.0,10971,2,67.0,10971,0,2014,555,450,470,0.486747008438193,465,-1,376,-1,-1,-1,-1,-1.1644,1.2114,0.4711,-0.1076,-0.6692
1,77.0,2008,75.0,9837,2,65.42,9837,1,2012,425,415,375,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,1.4374,1.1248,1.2525,0.53233,0.4234
1,63.0,2009,74.0,462,2,57.0,462,1,2013,545,500,455,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.4517,-2.1186,-0.6048,0.9066,-1.6273
0,90.33,2008,88.6,1141,2,69.55,1141,0,2012,725,505,415,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.51,1.4368,-0.0537,-1.34787,0.8973
1,76.5,2009,84.0,11447,2,87.2,11447,0,2013,380,440,385,0.414337426422751,-1,-1,-1,366,-1,-1,-1,-0.3027,-0.2871,0.01,0.0192,-0.6692
1,70.0,2007,60.0,1618,2,64.3,1618,0,2011,645,465,575,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-0.4173,-1.8393,-0.344,1.1199,0.1864
1,78.0,2010,87.1,1428,2,65.0,1428,1,2014,430,570,615,0.744758354008939,525,-1,438,-1,-1,-1,-1,-1.308,-1.1196,0.4711,0.0192,0.6721
1,89.5,2010,73.4,1906,2,70.06,1906,1,2014,700,505,585,0.486747008438193,485,-1,376,-1,-1,-1,-1,0.2718,0.0459,-1.0659,-2.136,-1.244
1,56.4,2006,72.0,403,2,64.0,403,0,2010,305,395,455,0.654107474545933,165,-1,-1,420,-1,-1,-1,0.2009,-0.9033,0.3817,0.2973,0.3444
1,88.67,2009,87.69,436,1,79.65,436,0,2014,545,645,735,0.879915203272648,-1,-1,-1,-1,-1,-1,-1,-0.7335,1.5444,-0.1437,-2.136,0.6721
1,58.33,2007,73.33,198,2,71.97,198,0,2012,395,325,585,0.744758354008939,395,-1,438,-1,-1,-1,-1,0.8192,0.5008,0.2366,-0.05527,0.6603
1,64.0,2009,66.0,382,2,69.2,382,0,2014,465,390,355,0.356536487724475,355,-1,346,-1,-1,-1,-1,-0.0154,-0.2871,0.3174,0.1459,0.0973
1,85.92,2007,79.87,1866,2,71.07,1866,1,2011,495,565,454,0.968237495890543,605,-1,-1,-1,-1,-1,-1,0.0464,-0.1232,-0.4891,0.2973,0.9763
1,88.8,2009,84.67,1866,2,70.0,1866,1,2013,675,605,620,0.985461394326131,515,500,-1,-1,-1,-1,-1,-0.0154,1.0449,0.4711,1.0333,1.0554
1,73.8,2008,75.4,55,2,68.56,55,0,2013,405,485,680,0.376059586651545,365,300,-1,-1,-1,-1,-1,-2.272,0.0328,-0.2714,1.1199,-0.4455
1,71.0,2007,58.0,3427,2,70.1,3427,0,2011,525,465,645,0.538386892985096,385,333,-1,-1,-1,260,-1,-1.9629,0.8128,0.2366,0.6498,0.0284
0,81.4,2008,74.0,7700,1,76.24,7700,1,2013,485,525,620,0.953899775079926,535,-1,530,-1,-1,-1,-1,0.5591,0.5454,1.7007,-2.0092,1.247
1,88.1,2009,91.1,15854,2,68.2,15854,1,2013,535,435,500,0.207392169717661,305,260,-1,-1,-1,-1,-1,-0.159,0.8784,0.4711,0.2727,0.6721
1,76.0,2009,72.0,8888,2,63.2,8888,0,2013,510,355,340,0.123016731640823,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776
0,82.3,2007,96.6,9557,2,83.0,9557,1,2012,445,565,615,0.694479327708463,-1,366,-1,-1,-1,-1,-1,1.1283,1.1248,-0.344,-0.407769999999999,0.8973
1,78.0,2009,68.0,1388,1,72.3,1388,0,2013,510,590,510,0.783303536670298,395,388,-1,-1,-1,-1,-1,0.8463,-0.4536,0.3174,-0.995,0.0973
1,66.7,2009,54.2,6545,2,66.93,6545,0,2014,430,470,500,0.299597296248525,-1,260,-1,-1,-1,-1,-1,0.2718,0.3789,0.4711,-0.2344,0.4805
1,72.0,2008,60.0,8946,2,63.0,8946,1,2013,440,300,285,-1.0,-1,-1,-1,-1,-1,-1,-1,1.8517,0.8784,1.547,-0.2344,0.4805
1,82.0,2008,62.3,11982,2,61.0,11982,0,2012,565,475,464,0.0684457505037512,-1,-1,-1,254,-1,-1,-1,-1.4992,-1.2153,-0.9245,-0.5253,-1.8278
0,58.56,2006,73.0,1279,2,61.8,1279,0,2010,445,465,565,0.376059586651545,375,300,-1,-1,-1,-1,-1,0.3555,0.6568,0.9623,0.6498,0.5024
1,58.0,2009,62.0,184,2,70.68,184,0,2014,405,395,390,0.486747008438193,495,-1,376,-1,-1,-1,-1,-0.7335,-0.1206,0.7785,0.653,0.0973
1,77.0,2007,78.0,6884,2,75.03,6884,0,2013,500,545,665,0.842248322257836,485,-1,469,-1,-1,-1,-1,-1.4517,-0.6201,-1.8344,-0.1076,0.6721
0,75.6,2010,83.2,55,2,71.1,55,0,2014,475,460,530,0.744758354008939,405,-1,438,-1,-1,-1,-1,1.2772,1.5444,1.8543,1.0333,1.247
1,75.0,2002,61.7,1424,2,79.0,1424,0,2010,365,365,425,0.377551419424541,375,-1,-1,-1,-1,-1,-1,-0.4173,-0.1232,-0.0537,-0.4078,-0.1295
1,74.0,2009,66.8,13801,2,68.9,13801,0,2013,535,505,510,0.338786347219528,-1,292,-1,-1,-1,-1,-1,-0.5899,-2.2851,-0.7585,0.0192,-2.5853
1,92.2,2009,75.6,11154,2,81.5,11154,1,2014,685,565,645,0.953899775079926,595,-1,530,-1,-1,-1,-1,1.4208,1.2114,0.3174,-1.5021,0.2889
0,84.5,2008,94.1,11168,2,70.95,11168,1,2012,485,445,575,0.413838255788123,385,-1,-1,-1,-1,-1,-1,-0.4173,0.1888,0.5269,-1.1422,0.0284
1,89.4,2009,75.6,275,2,82.53,275,1,2013,590,610,635,0.840840968763718,-1,-1,-1,473,-1,-1,-1,0.8463,0.0459,0.7785,-1.8824,0.4805
1,76.2,2010,88.0,1577,2,69.8,1577,0,2014,450,510,620,0.744758354008939,315,-1,438,-1,-1,-1,-1,1.4208,-0.1206,0.4711,-1.3753,1.6302
0,85.33,2008,78.2,11368,2,77.25,11368,0,2012,605,404,454,0.824666400671332,-1,400,407,-1,-1,-1,-1,1.0896,1.5928,0.672,-1.05407,0.1864
1,72.0,2010,64.0,17782,2,72.0,17782,0,2015,490,410,485,0.450876584483451,395,-1,-1,-1,-1,-1,-1,1.1336,0.3789,-0.1437,-0.8682,-0.4776
1,45.6,2007,73.6,1268,2,85.2,1268,0,2010,365,385,454,0.765673581234011,485,-1,-1,-1,-1,-1,-1,0.6646,0.3448,-1.0697,0.2973,-0.9194
1,86.5,2010,82.5,473,2,61.86,473,1,2014,490,395,485,0.911395278391328,425,-1,500,-1,-1,-1,-1,-0.0154,-0.6201,-0.2974,0.7798,-1.8189
1,75.83,2006,68.83,472,2,55.6,472,1,2010,525,575,655,0.901489571371033,545,-1,-1,-1,-1,-1,-1,-2.8903,1.2808,0.8171,-0.8778,0.3444
1,69.4,2007,63.0,7600,2,61.0,7600,0,2013,375,465,265,0.0233121682429863,-1,166,-1,-1,-1,260,-1,-1.1901,0.1888,-1.5051,-1.34787,-0.7615
1,64.0,2010,61.0,18409,2,63.0,18409,0,2014,455,505,465,0.884122511593735,535,-1,-1,-1,-1,-1,-1,-1.7389,-1.2861,-1.3733,-0.6147,-0.4776
1,85.0,2006,73.8,115,2,77.0,115,0,2011,505,485,615,0.824666400671332,405,400,-1,-1,-1,-1,-1,-0.5719,-1.0593,-0.1988,1.1199,1.1343
1,85.6,2006,90.6,964,2,68.4,964,1,2010,395,425,575,0.229481754911755,435,266,-1,-1,-1,-1,-1,0.8192,0.5008,0.3817,-0.0552,-0.2875
1,80.6,2005,91.0,137,2,73.06,137,0,2010,485,505,375,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.51,1.7488,0.2366,-1.2303,0.9763
0,78.0,2007,68.0,2513,2,68.0,2513,0,2011,365,515,645,0.979521744319216,625,-1,-1,-1,-1,-1,-1,-0.880999999999999,0.5008,0.9623,-0.7603,-0.1295
0,69.0,2009,72.2,7542,2,69.78,7542,1,2013,370,500,455,0.704090412131314,465,-1,-1,-1,-1,-1,-1,0.5591,0.2124,-0.4511,-1.3753,0.6721
1,89.56,2006,85.0,992,2,67.45,992,1,2010,485,315,545,0.694479327708463,345,366,-1,-1,-1,-1,-1,-3.0448,-1.0593,-0.6343,0.7673,0.1864
1,83.2,2008,72.3,28,2,68.0,28,1,2013,545,620,515,0.960903087163164,595,-1,-1,-1,-1,-1,-1,0.4155,1.0449,1.3933,-0.4879,-0.0943
1,51.0,2004,48.0,350,2,59.0,350,0,2010,275,365,395,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.2009,-0.2793,0.2366,1.4724,0.0284
1,60.7,2008,65.66,55,2,77.7,55,0,2014,545,535,470,-1.0,-1,-1,-1,-1,-1,-1,-1,0.1282,1.0449,-0.2974,-0.995,0.4805
1,76.0,2006,75.0,4450,2,65.48,4450,0,2011,375,535,575,0.600057182338341,435,-1,-1,-1,-1,-1,-1,0.6646,-0.1232,1.5428,0.0623,0.3444
1,91.0,2010,91.2,2921,2,86.0,2921,0,2014,675,655,585,0.783303536670298,485,388,-1,-1,-1,-1,-1,0.8463,0.8784,-0.1437,-0.7415,-1.0524
1,90.6,2009,79.3,5752,2,65.7,5752,1,2013,430,350,475,0.622642915849938,515,-1,407,-1,-1,-1,-1,1.4208,1.2114,1.2396,-1.1218,1.247
1,63.0,2010,62.0,350,2,62.44,350,0,2014,380,510,515,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.4517,-1.2861,-0.1437,1.1601,-1.4356
1,63.0,2010,63.0,15807,2,63.0,15807,1,2014,300,435,390,0.0329370177076901,-1,-1,-1,223,-1,-1,-1,1.8517,-0.2871,1.0859,1.6672,-0.2859
1,75.4,2004,68.2,83,2,80.0,83,0,2010,555,535,655,0.916869961103619,555,-1,-1,-1,-1,-1,-1,1.2828,1.1248,-0.6343,-1.3478,1.1343
1,81.8,2006,71.8,4450,2,64.5,4450,0,2011,415,525,625,0.824666400671332,-1,400,-1,-1,-1,366,-1,-1.8083,-0.2793,-0.6343,0.0623,-0.1295
1,75.85,2009,77.2,992,2,80.0,992,1,2013,525,530,520,0.979521744319216,625,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.0859,-0.995,1.0554
1,91.6,2010,85.6,47,1,72.7,47,1,2014,590,575,635,0.649389714846691,525,356,-1,-1,-1,-1,-1,1.1336,0.5454,0.01,-2.0092,0.8637
1,66.0,2006,55.0,4948,2,66.0,4948,1,2010,405,585,415,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-1.0355,0.5008,-0.0537,1.4724,1.4502
1,50.0,2010,57.0,9738,2,65.06,9738,0,2014,395,425,425,0.744758354008939,385,-1,438,-1,-1,-1,-1,0.4155,-0.6504,0.3034,0.653,-0.4392
0,89.2,2007,86.25,1034,2,76.0,1034,0,2011,465,595,575,0.376059586651545,395,300,-1,-1,-1,313,-1,0.3555,0.9688,0.3817,-1.3478,0.1864
1,93.8,2009,76.0,47,1,72.5,47,1,2014,615,415,680,0.338786347219528,425,292,-1,-1,-1,393,-1,1.5644,1.5444,1.8543,-0.3612,0.0973
1,76.66,2004,64.33,3496,2,72.02,3496,0,2012,615,525,430,0.328746378624932,-1,-1,-1,346,-1,-1,-1,-0.5899,0.5454,0.3174,-0.7415,-0.8608
1,90.4,2009,84.6,11759,2,83.5,11759,0,2013,430,375,530,0.986525019020638,-1,-1,-1,580,-1,-1,-1,-1.8083,-1.9953,-2.521,1.0747,-2.0253
0,90.8,2009,82.6,5717,2,64.66,5717,0,2013,485,535,590,0.911395278391328,535,-1,500,-1,-1,-1,-1,0.99,1.2114,1.2396,-2.643,1.6302
1,82.67,2008,74.92,12737,2,61.36,12737,1,2014,580,470,425,0.911395278391328,535,-1,500,-1,-1,-1,-1,1.7081,1.0449,1.547,0.0192,0.6721
1,94.16,2009,95.5,11000,2,83.62,11000,1,2013,380,475,575,0.538386892985096,375,333,-1,-1,473,-1,-1,0.8463,1.2114,0.1637,-0.7415,1.0554
1,74.6,2007,81.6,3720,2,67.8,3720,0,2011,440,425,415,0.356536487724475,465,-1,346,-1,-1,-1,-1,-0.159,0.2124,-1.0659,-0.4879,0.2889
1,61.73,2008,60.0,7495,2,63.33,7495,0,2012,455,395,385,0.308400582860308,355,366,-1,-1,-1,-1,-1,-0.2628,-0.4353,1.2525,0.0623,-0.9194
1,78.0,2007,63.0,374,2,68.1,374,0,2011,454,535,464,0.765673581234011,485,-1,-1,-1,-1,-1,-1,-1.0355,0.8128,-1.2148,1.0024,1.6082
1,74.0,2005,64.0,1109,2,53.0,1109,1,2010,445,455,405,0.538386892985096,325,333,-1,366,-1,-1,340,1.1283,-0.4353,0.3817,0.1798,0.5024
1,72.0,2007,60.0,1245,2,64.0,1245,1,2012,345,375,315,0.342314899911815,365,-1,-1,-1,-1,-1,-1,-1.1128,-1.3713,-0.344,1.1492,-2.6572
1,85.6,2006,79.4,580,1,67.23,580,0,2011,525,525,565,0.538386892985096,-1,333,-1,-1,-1,-1,-1,-1.9629,-1.9953,-1.6502,0.6498,-1.2354
1,89.4,2006,68.0,1866,2,68.3,1866,1,2011,635,525,525,0.694479327708463,385,366,-1,-1,-1,313,-1,0.0464,0.3448,0.9623,-0.2902,0.5024
1,87.7,2010,95.2,9748,2,69.96,9748,1,2014,450,555,445,0.744758354008939,455,-1,438,-1,-1,-1,-1,-0.159,-0.4536,0.9322,-0.2344,-0.6692
1,88.0,2008,78.0,272,2,87.9,272,0,2013,545,605,575,0.824666400671332,535,400,-1,-1,-1,-1,-1,-3.0315,-2.1186,-1.0659,0.3995,-1.6273
1,80.8,2010,81.5,12867,2,74.0,12867,0,2014,560,455,405,0.23780283983757,505,-1,315,-1,-1,-1,-1,1.9953,1.0449,0.4711,-1.6289,0.8637
1,77.6,2008,59.0,993,2,58.66,993,1,2012,405,585,334,0.308400582860308,355,-1,-1,-1,-1,-1,-1,0.0464,0.9688,-0.1988,-0.7015,-1.2354
1,87.0,2010,79.0,14697,2,70.0,14697,0,2014,440,540,535,0.75618011362902,465,-1,-1,-1,-1,388,-1,-2.1698,-4.2831,-1.8344,-0.4879,-5.0763
0,89.8,2007,83.8,5232,2,70.0,5232,0,2011,535,455,525,0.843123726665742,515,-1,-1,-1,-1,-1,-1,-0.2628,0.1888,0.3817,-0.2902,1.6082
1,80.0,2009,89.0,4557,2,62.0,4557,1,2013,325,530,405,0.356536487724475,275,-1,346,-1,-1,-1,-1,0.99,0.3789,-0.2974,-1.1218,-1.244
